dataset,model,cal_size,test_size,n_classes,MS_brier,MS_logloss,MS_ece-15,MS_accuracy,MS_time
eye_movements,ExtraTrees,9842,1094,3,0.31801173090934753,0.5471940636634827,0.028280597180128098,0.7769652605056763,0.03234606049954891
eye_movements,LightGBM,9842,1094,3,0.2779494524002075,0.4856248199939728,0.032263338565826416,0.8107861280441284,0.05472974292933941
eye_movements,LinearModel,9842,1094,3,0.5638718008995056,0.9180781841278076,0.032576676458120346,0.5127970576286316,0.06412289291620255
eye_movements,NeuralNetFastAI,9842,1094,3,0.43249428272247314,0.7192773222923279,0.0436251237988472,0.6709323525428772,0.04997291695326567
eye_movements,NeuralNetTorch,9842,1094,3,0.41672444343566895,0.6940181851387024,0.06538961827754974,0.6910420656204224,0.051159122958779335
eye_movements,RandomForest,9842,1094,3,0.38260990381240845,0.6600925326347351,0.03252488747239113,0.7166361808776855,0.04683345928788185
eye_movements,XGBoost,9842,1094,3,0.3177947700023651,0.5454423427581787,0.03482811525464058,0.7705667018890381,0.0641876794397831
fabert,CatBoost,7413,824,7,0.352376252412796,0.7012010812759399,0.037786565721035004,0.7305825352668762,0.4654329428449273
fabert,ExtraTrees,7413,824,7,0.37015363574028015,0.7369769811630249,0.050489120185375214,0.707524299621582,0.5076681170612574
fabert,LightGBM,7413,824,7,0.35388660430908203,0.6937264800071716,0.055118728429079056,0.7208737730979919,0.4084458705037832
fabert,LinearModel,7413,824,7,0.47920331358909607,0.9794195890426636,0.06324303150177002,0.6310679316520691,0.2614706391468644
fabert,NeuralNetFastAI,7413,824,7,0.3847752809524536,0.7715030312538147,0.05157221853733063,0.7038834691047668,0.4194165738299489
fabert,NeuralNetTorch,7413,824,7,0.4153434634208679,0.8392279148101807,0.08512067794799805,0.6990291476249695,0.42195060662925243
fabert,RandomForest,7413,824,7,0.38143327832221985,0.7732944488525391,0.03428912162780762,0.7111650705337524,0.5020737843587995
