dataset,model,cal_size,test_size,n_classes,SMS_brier,SMS_logloss,SMS_ece-15,SMS_accuracy,SMS_time
LED-display-domain-7digit,NeuralNetTorch,450,50,10,0.3600645642791159,0.7055051439110721,0.12125874310731888,0.7599999904632568,0.057013207115232944
LED-display-domain-7digit,RandomForest,450,50,10,0.3891095742681964,0.7729340695880328,0.18000441789627075,0.7200000286102295,0.06335531175136566
LED-display-domain-7digit,XGBoost,450,50,10,0.37933081125947515,0.7723023815777057,0.17987918853759766,0.699999988079071,0.06059674546122551
MiceProtein,CatBoost,972,108,8,0.0035548641732915994,0.007360948469581769,0.005759470164775848,1.0,0.035133966244757175
MiceProtein,ExtraTrees,972,108,8,0.009492690283169099,0.01291256997151222,0.007522992789745331,0.9907407164573669,0.03916169982403517
MiceProtein,LightGBM,972,108,8,4.3014406248984194e-07,0.0006134459349216253,0.0006126165390014648,1.0,0.018787783570587635
MiceProtein,LinearModel,972,108,8,0.0015973056433179163,0.00940155827731342,0.008938204497098923,1.0,0.057119945995509624
MiceProtein,NeuralNetFastAI,972,108,8,4.3014406248984194e-07,0.0006134459349216253,0.0006126165390014648,1.0,0.01847224310040474
MiceProtein,NeuralNetTorch,972,108,8,4.3014406248984194e-07,0.0006134459349216253,0.0006126165390014648,1.0,0.0182702811434865
MiceProtein,RandomForest,972,108,8,0.0706587466785017,0.1989050303355729,0.031386394053697586,0.9444444179534912,0.0710443863645196
MiceProtein,XGBoost,972,108,8,0.014031040601633758,0.027335000808018536,0.021743465214967728,1.0,0.050720036029815674
Traffic_violations,CatBoost,63306,7034,3,0.26805896931969925,0.4034614434553232,0.01109815202653408,0.7995450496673584,0.28162205778062344
Traffic_violations,ExtraTrees,63306,7034,3,0.27754684275431785,0.41857794379242236,0.006667595822364092,0.7908729314804077,0.43057432770729065
Traffic_violations,LightGBM,63306,7034,3,0.27189324539511,0.41052061320127914,0.00908984337002039,0.7949957251548767,0.35613715276122093
Traffic_violations,LinearModel,63306,7034,3,0.2759583844079806,0.4148136338011774,0.010783498175442219,0.7920102477073669,0.5469311280176044
Traffic_violations,NeuralNetFastAI,63306,7034,3,0.27529360213559184,0.4126201528756802,0.007656613830476999,0.7937162518501282,0.6755344420671463
Traffic_violations,NeuralNetTorch,63306,7034,3,0.2888897948759958,0.43788246768605066,0.008524487726390362,0.7823429107666016,0.34995408076792955
Traffic_violations,RandomForest,63306,7034,3,0.2734182331299278,0.41119447771395945,0.012944781221449375,0.7944270968437195,0.3017884409055114
Traffic_violations,XGBoost,63306,7034,3,0.2728247499582022,0.4089057941499846,0.005943018943071365,0.7935740947723389,0.3923624688759446
UMIST_Faces_Cropped,CatBoost,517,58,20,0.005170054139562824,0.015087754606933223,0.012501279823482037,1.0,0.08523762598633766
UMIST_Faces_Cropped,ExtraTrees,517,58,20,0.0038790148848634495,0.011812329203000712,0.01023619994521141,1.0,0.10305514466017485
UMIST_Faces_Cropped,LightGBM,517,58,20,0.05485725908256814,0.19742296119954525,0.02718968130648136,0.9655172228813171,0.09345768578350544
UMIST_Faces_Cropped,LinearModel,517,58,20,0.04397031321195903,0.1248120712999429,0.02729642577469349,0.9655172228813171,0.0935370409861207
UMIST_Faces_Cropped,NeuralNetFastAI,517,58,20,0.03442598524804408,0.16280794435663792,0.015575528144836426,0.982758641242981,0.0315737584605813
UMIST_Faces_Cropped,NeuralNetTorch,517,58,20,0.034424375610000606,0.16236848340739435,0.015574753284454346,0.982758641242981,0.031460508704185486
UMIST_Faces_Cropped,RandomForest,517,58,20,0.01156239514588766,0.02481476640330166,0.01244200486689806,0.982758641242981,0.10158640053123236
UMIST_Faces_Cropped,XGBoost,517,58,20,0.07702674780979239,0.2279846396482871,0.05634015053510666,0.9482758641242981,0.10594311263412237
analcatdata_authorship,CatBoost,756,85,4,0.0498213181747246,0.07962458910368056,0.02661799266934395,0.9647058844566345,0.036375402472913265
