dataset,model,cal_size,test_size,n_classes,XGBoost_brier,XGBoost_logloss,XGBoost_ece-15,XGBoost_accuracy,XGBoost_time
satimage,NeuralNetTorch,5787,643,6,0.11685390770435333,0.24936562776565552,0.060100145637989044,0.917573869228363,0.14839263260364532
satimage,RandomForest,5787,643,6,0.12498073279857635,0.27006423473358154,0.048871297389268875,0.917573869228363,0.1392165645956993
satimage,XGBoost,5787,643,6,0.12056512385606766,0.26631981134414673,0.05409284308552742,0.9222394824028015,0.14957039430737495
segment,CatBoost,2079,231,7,0.030979549512267113,0.1164509505033493,0.07283679395914078,0.9870129823684692,0.10706078633666039
segment,ExtraTrees,2079,231,7,0.03188738971948624,0.11418795585632324,0.06612363457679749,0.9783549904823303,0.08020580187439919
segment,LightGBM,2079,231,7,0.043802615255117416,0.1351826936006546,0.06867532432079315,0.9740259647369385,0.10722802206873894
segment,LinearModel,2079,231,7,0.04592380300164223,0.1409025341272354,0.07605169713497162,0.9740259647369385,0.09696869924664497
segment,NeuralNetFastAI,2079,231,7,0.04142356663942337,0.13008393347263336,0.08045344054698944,0.9870129823684692,0.09794196113944054
segment,NeuralNetTorch,2079,231,7,0.03654785454273224,0.12417498230934143,0.08080054819583893,0.9783549904823303,0.08954448252916336
segment,RandomForest,2079,231,7,0.03825470805168152,0.1311580091714859,0.07048171013593674,0.9783549904823303,0.08153348788619041
segment,XGBoost,2079,231,7,0.04136096313595772,0.13070978224277496,0.07220757007598877,0.9826839566230774,0.1073983758687973
semeion,CatBoost,1433,160,10,0.09602214395999908,0.25605839490890503,0.06731714308261871,0.9375,0.17604591697454453
semeion,ExtraTrees,1433,160,10,0.1485261768102646,0.4014590382575989,0.07964496314525604,0.893750011920929,0.1558747962117195
semeion,LightGBM,1433,160,10,0.13034552335739136,0.34601297974586487,0.07503274083137512,0.918749988079071,0.1773601844906807
semeion,LinearModel,1433,160,10,0.12862733006477356,0.3143777549266815,0.11976663023233414,0.9125000238418579,0.18071505427360535
semeion,NeuralNetFastAI,1433,160,10,0.10845483839511871,0.26681554317474365,0.0927773267030716,0.90625,0.16949082165956497
semeion,NeuralNetTorch,1433,160,10,0.11647865921258926,0.2893548607826233,0.0801178365945816,0.9125000238418579,0.1767365261912346
semeion,RandomForest,1433,160,10,0.16326120495796204,0.4257020950317383,0.08060380816459656,0.887499988079071,0.16014866530895233
semeion,XGBoost,1433,160,10,0.12204508483409882,0.33011919260025024,0.0820457860827446,0.9125000238418579,0.18185380473732948
soybean,CatBoost,614,69,19,0.12272649258375168,0.25547292828559875,0.12793217599391937,0.8840579986572266,0.2898915931582451
soybean,ExtraTrees,614,69,19,0.09749386459589005,0.2358543574810028,0.12260478734970093,0.95652174949646,0.09816833585500717
soybean,LightGBM,614,69,19,0.06458068639039993,0.18861790001392365,0.1447848379611969,0.9710144996643066,0.28926360979676247
soybean,LinearModel,614,69,19,0.12160994857549667,0.3317215144634247,0.12504225969314575,0.9275362491607666,0.2923385426402092
soybean,NeuralNetFastAI,614,69,19,0.11728653311729431,0.29385310411453247,0.09157577157020569,0.9420289993286133,0.2629464939236641
soybean,NeuralNetTorch,614,69,19,0.1261260062456131,0.33124154806137085,0.09698312729597092,0.9275362491607666,0.14717481285333633
soybean,RandomForest,614,69,19,0.13307976722717285,0.315177321434021,0.10423049330711365,0.8985507488250732,0.10067775845527649
