dataset,model,cal_size,test_size,n_classes,SVS_brier,SVS_logloss,SVS_ece-15,SVS_accuracy,SVS_time
fabert,NeuralNetFastAI,7413,824,7,0.3852377235889435,0.7772771120071411,0.03629688918590546,0.707524299621582,0.13823764398694038
fabert,NeuralNetTorch,7413,824,7,0.41532590985298157,0.8411628007888794,0.08374428004026413,0.7050970792770386,0.15798942185938358
fabert,RandomForest,7413,824,7,0.3829856812953949,0.7707769274711609,0.029849473387002945,0.7050970792770386,0.1452063200995326
fabert,XGBoost,7413,824,7,0.35958725214004517,0.7375258803367615,0.047164272516965866,0.7245145440101624,0.14071246702224016
first-order-theorem-proving,CatBoost,5506,612,6,0.5048439502716064,1.0344858169555664,0.06166252866387367,0.6241829991340637,0.10063587129116058
first-order-theorem-proving,ExtraTrees,5506,612,6,0.5097622871398926,1.0518333911895752,0.04293912649154663,0.6045751571655273,0.07674479018896818
first-order-theorem-proving,LightGBM,5506,612,6,0.5085771679878235,1.0463321208953857,0.03385297209024429,0.6176470518112183,0.07067211531102657
first-order-theorem-proving,LinearModel,5506,612,6,0.6452842354774475,1.3718738555908203,0.0484454482793808,0.48366013169288635,0.0900712963193655
first-order-theorem-proving,NeuralNetFastAI,5506,612,6,0.5578060150146484,1.1553113460540771,0.04630052670836449,0.5735294222831726,0.06798710580915213
first-order-theorem-proving,NeuralNetTorch,5506,612,6,0.541327714920044,1.118237018585205,0.0399954728782177,0.5735294222831726,0.084402646869421
first-order-theorem-proving,RandomForest,5506,612,6,0.5064624547958374,1.0457382202148438,0.04190320894122124,0.6078431606292725,0.07088364381343126
first-order-theorem-proving,XGBoost,5506,612,6,0.5029699206352234,1.034952998161316,0.05262798070907593,0.6241829991340637,0.0858766445890069
har,CatBoost,9269,1030,6,0.004331712611019611,0.008427073247730732,0.006024667993187904,0.9961165189743042,0.09829330537468195
har,ExtraTrees,9269,1030,6,0.01807914301753044,0.0314052440226078,0.009603588841855526,0.9873786568641663,0.10531134065240622
har,LightGBM,9269,1030,6,0.0017166228499263525,0.004463686142116785,0.003897129325196147,1.0,0.0903564253821969
har,LinearModel,9269,1030,6,0.014873700216412544,0.027314214035868645,0.007702716160565615,0.9893203973770142,0.09905256051570177
har,NeuralNetFastAI,9269,1030,6,0.007150761783123016,0.014627460390329361,0.006837181281298399,0.9961165189743042,0.08853752072900534
har,NeuralNetTorch,9269,1030,6,0.0070419819094240665,0.012930846773087978,0.004666874185204506,0.9961165189743042,0.08863446116447449
har,RandomForest,9269,1030,6,0.028403759002685547,0.05072006955742836,0.007868913002312183,0.9825242757797241,0.11381700076162815
har,XGBoost,9269,1030,6,0.004450601059943438,0.008461793884634972,0.005917404778301716,0.9980582594871521,0.08576986193656921
isolet,CatBoost,7017,780,26,0.06837078928947449,0.12852992117404938,0.01234937272965908,0.9487179517745972,0.05427893716841936
isolet,ExtraTrees,7017,780,26,0.08480043709278107,0.1735849827528,0.018371887505054474,0.9397435784339905,0.06667674798518419
isolet,LightGBM,7017,780,26,0.05205195024609566,0.1049397885799408,0.01921497844159603,0.964102566242218,0.04939230624586344
isolet,LinearModel,7017,780,26,0.05845532938838005,0.12247545272111893,0.023975614458322525,0.964102566242218,0.05236512329429388
isolet,NeuralNetFastAI,7017,780,26,0.04504306614398956,0.08762200176715851,0.012332418002188206,0.9705128073692322,0.046873451210558414
isolet,NeuralNetTorch,7017,780,26,0.05566216632723808,0.11772237718105316,0.015272954478859901,0.9666666388511658,0.05508564878255129
isolet,RandomForest,7017,780,26,0.10559602081775665,0.22945153713226318,0.026224825531244278,0.9243589639663696,0.05689475126564503
isolet,XGBoost,7017,780,26,0.06141943484544754,0.12935858964920044,0.009740179404616356,0.9551281929016113,0.05642067454755306
jungle_chess_2pcs_raw_endgame_complete,CatBoost,40337,4482,3,0.16436924040317535,0.24826864898204803,0.04016135260462761,0.8614457845687866,0.20966383442282677
jungle_chess_2pcs_raw_endgame_complete,ExtraTrees,40337,4482,3,0.18751738965511322,0.28884878754615784,0.059199053794145584,0.8246318697929382,0.23714148066937923
jungle_chess_2pcs_raw_endgame_complete,LightGBM,40337,4482,3,0.14393846690654755,0.21499337255954742,0.04793090000748634,0.8661311864852905,0.19824625458568335
jungle_chess_2pcs_raw_endgame_complete,LinearModel,40337,4482,3,0.4329020380973816,0.7304368019104004,0.018384665250778198,0.6744756698608398,0.24310723971575499
jungle_chess_2pcs_raw_endgame_complete,NeuralNetFastAI,40337,4482,3,0.10403896123170853,0.15403026342391968,0.017493821680545807,0.906068742275238,0.2551676454022527
jungle_chess_2pcs_raw_endgame_complete,NeuralNetTorch,40337,4482,3,0.024441488087177277,0.042839765548706055,0.01479895506054163,0.9857206344604492,0.2108271885663271
jungle_chess_2pcs_raw_endgame_complete,RandomForest,40337,4482,3,0.19055573642253876,0.2948843538761139,0.05420945584774017,0.822400689125061,0.19821803364902735
jungle_chess_2pcs_raw_endgame_complete,XGBoost,40337,4482,3,0.13878865540027618,0.207297220826149,0.034696146845817566,0.879964292049408,0.21495237108319998
kr-vs-k,CatBoost,25250,2806,18,0.13036750257015228,0.26198285818099976,0.031534343957901,0.9176763892173767,0.22931444644927979
kr-vs-k,ExtraTrees,25250,2806,18,0.1765415519475937,0.3888648450374603,0.042217448353767395,0.8841767907142639,0.25672092102468014
kr-vs-k,LightGBM,25250,2806,18,0.11878816038370132,0.23948024213314056,0.042706266045570374,0.9287241697311401,0.2994936741888523
kr-vs-k,LinearModel,25250,2806,18,0.7917680740356445,1.8398797512054443,0.03681270778179169,0.3360655605792999,0.39375889766961336
kr-vs-k,NeuralNetFastAI,25250,2806,18,0.15716701745986938,0.289306104183197,0.04113569110631943,0.8934426307678223,0.2898700926452875
kr-vs-k,NeuralNetTorch,25250,2806,18,0.11484812200069427,0.21421310305595398,0.04603983089327812,0.9223093390464783,0.2416501510888338
kr-vs-k,RandomForest,25250,2806,18,0.1706867665052414,0.39520442485809326,0.05538993328809738,0.8930862545967102,0.2839094791561365
kr-vs-k,XGBoost,25250,2806,18,0.1165900006890297,0.23094549775123596,0.034007519483566284,0.928011417388916,0.30510380398482084
led24,CatBoost,2880,320,10,0.3983367085456848,0.8281797170639038,0.10115954279899597,0.7124999761581421,0.06239069998264313
led24,ExtraTrees,2880,320,10,0.39817121624946594,0.8177091479301453,0.059867825359106064,0.7124999761581421,0.05488230008631945
led24,LightGBM,2880,320,10,0.4000031352043152,0.8367893099784851,0.05516725778579712,0.715624988079071,0.05602572299540043
led24,LinearModel,2880,320,10,0.39632827043533325,0.8178931474685669,0.06104808673262596,0.715624988079071,0.051673648878932
led24,NeuralNetFastAI,2880,320,10,0.38347578048706055,0.7990647554397583,0.0356065072119236,0.734375,0.057087916880846024
led24,NeuralNetTorch,2880,320,10,0.3849647343158722,0.7939901351928711,0.054685428738594055,0.7281249761581421,0.0674682566896081
led24,RandomForest,2880,320,10,0.39490729570388794,0.8106718063354492,0.056258589029312134,0.7124999761581421,0.07774065807461739
led24,XGBoost,2880,320,10,0.3994823098182678,0.839452862739563,0.07412147521972656,0.7124999761581421,0.06722129229456186
letter,CatBoost,18000,2000,26,0.033428020775318146,0.06974930316209793,0.00918332114815712,0.9785000085830688,0.14554609823971987
letter,ExtraTrees,18000,2000,26,0.04108589142560959,0.08443666994571686,0.005450698547065258,0.9745000004768372,0.15410844795405865
letter,LightGBM,18000,2000,26,0.03445452079176903,0.07510088384151459,0.007785353809595108,0.9789999723434448,0.1544740768149495
letter,LinearModel,18000,2000,26,0.30639296770095825,0.799767017364502,0.06015842407941818,0.7979999780654907,0.22318511083722115
letter,NeuralNetFastAI,18000,2000,26,0.020482096821069717,0.04206618666648865,0.006937198806554079,0.9865000247955322,0.1504580471664667
letter,NeuralNetTorch,18000,2000,26,0.02165960520505905,0.04308325797319412,0.009974556043744087,0.984499990940094,0.1588900312781334
letter,RandomForest,18000,2000,26,0.05299646034836769,0.11378442496061325,0.016322819516062737,0.9674999713897705,0.15818785410374403
letter,XGBoost,18000,2000,26,0.037500739097595215,0.07989943027496338,0.00989951565861702,0.9760000109672546,0.14101022761315107
mfeat-factors,CatBoost,1800,200,10,0.04283792898058891,0.10244768857955933,0.010960056446492672,0.9750000238418579,0.032981766387820244
mfeat-factors,ExtraTrees,1800,200,10,0.04653165861964226,0.10640702396631241,0.02508731558918953,0.9750000238418579,0.03421015292406082
mfeat-factors,LightGBM,1800,200,10,0.04085862264037132,0.09862229228019714,0.015422053635120392,0.9800000190734863,0.032502952963113785
mfeat-factors,LinearModel,1800,200,10,0.03265736624598503,0.07507701218128204,0.021310456097126007,0.9850000143051147,0.03279069717973471
