dataset,model,cal_size,test_size,n_classes,CatBoost_brier,CatBoost_logloss,CatBoost_ece-15,CatBoost_accuracy,CatBoost_time
cmc,CatBoost,1325,148,3,0.49651860116186314,0.8399682453619696,0.10831397771835327,0.5810810923576355,0.49787707021459937
cmc,ExtraTrees,1325,148,3,0.5029061926007488,0.8518242540697715,0.06878511607646942,0.587837815284729,0.4839660762809217
cmc,LightGBM,1325,148,3,0.5198749867392413,0.874671999654757,0.06352423876523972,0.5810810923576355,0.522123892325908
cmc,LinearModel,1325,148,3,0.521166522434356,0.8712822912988972,0.15201663970947266,0.6081081032752991,0.5092601501382887
cmc,NeuralNetFastAI,1325,148,3,0.5188037755178725,0.8726448172845803,0.07593164592981339,0.5743243098258972,0.7225100989453495
cmc,NeuralNetTorch,1325,148,3,0.5061266396660787,0.8559938602327807,0.07160066813230515,0.5945945978164673,0.5323585318401456
cmc,RandomForest,1325,148,3,0.49716390418747064,0.8400143315116556,0.07013829052448273,0.6081081032752991,0.5314778634347022
cmc,XGBoost,1325,148,3,0.5004186103725384,0.8520819622672472,0.12634702026844025,0.6013513803482056,0.5173970898613334
cnae-9,CatBoost,972,108,9,0.07268738003204539,0.19012377386075607,0.054657209664583206,0.9537037014961243,2.5198187129572034
cnae-9,ExtraTrees,972,108,9,0.05449315217390639,0.14890984263570192,0.057201121002435684,0.9722222089767456,3.4624132928438485
cnae-9,LightGBM,972,108,9,0.06027088177304383,0.1594447537500484,0.059990085661411285,0.9629629850387573,3.019711378030479
cnae-9,LinearModel,972,108,9,0.08230478320229512,0.1852471137534953,0.05582753196358681,0.9444444179534912,2.9044005726464093
cnae-9,NeuralNetFastAI,972,108,9,0.04977560545109606,0.11765786496475047,0.04869740828871727,0.9722222089767456,2.184466099832207
cnae-9,NeuralNetTorch,972,108,9,0.06706831332637864,0.16452404137804266,0.030255891382694244,0.9444444179534912,4.140723081771284
cnae-9,RandomForest,972,108,9,0.06988069927730726,0.1746662841946047,0.05597352236509323,0.9629629850387573,3.496333763934672
cnae-9,XGBoost,972,108,9,0.09643076855639536,0.2248872163100151,0.05725617706775665,0.9351851940155029,2.3005463322624564
collins,CatBoost,900,100,30,0.8342414948552972,2.1869287417479364,0.06346061825752258,0.2800000011920929,30.681624347809702
collins,ExtraTrees,900,100,30,0.8533829590875931,2.2600401078055454,0.05506563559174538,0.20000000298023224,29.624350681900978
collins,LightGBM,900,100,30,0.8299298811626679,2.18766791166518,0.07012061029672623,0.2800000011920929,29.63511708099395
collins,LinearModel,900,100,30,0.8258770427560914,2.146206745377132,0.11932244896888733,0.33000001311302185,30.601577729918063
collins,NeuralNetFastAI,900,100,30,0.8218097334670391,2.138058925043962,0.08203514665365219,0.27000001072883606,25.508601705078036
collins,NeuralNetTorch,900,100,30,0.8081424785185728,2.12932462730915,0.1096244528889656,0.25,25.009305365383625
collins,RandomForest,900,100,30,0.857282701483158,2.272777223419536,0.0816798061132431,0.23000000417232513,31.21359515422955
collins,XGBoost,900,100,30,0.8495392656089747,2.272186494308625,0.04038573056459427,0.25,28.060840107966214
connect-4,CatBoost,60801,6756,3,0.17562693286847664,0.31398723895642844,0.011928707361221313,0.8781823515892029,16.230549583677202
connect-4,ExtraTrees,60801,6756,3,0.2495089297389263,0.44876901318759466,0.01227397657930851,0.8244523406028748,15.168869607150555
connect-4,LightGBM,60801,6756,3,0.17574186948807466,0.3143074646612457,0.010082275606691837,0.8758140802383423,16.081816725898534
connect-4,LinearModel,60801,6756,3,0.3331552075793148,0.5895507783645072,0.009826049208641052,0.7571048140525818,12.269803042989224
connect-4,NeuralNetFastAI,60801,6756,3,0.16699501534642766,0.2988553254324049,0.017305869609117508,0.8836589455604553,17.821346450131387
