dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
ilpd,LightGBM,524,59,0.36183462407224576,0.5243106407997985,0.06750249117612839,0.16698692739009857,0.7118644118309021,0.002885628491640091
ilpd,LinearModel,524,59,0.40777527208801384,0.8257721205341904,0.08565689623355865,0.13705140352249146,0.6440678238868713,0.0028684549033641815
ilpd,NeuralNetFastAI,524,59,0.35200507790566454,0.49783891197199276,0.06410881876945496,0.1397547870874405,0.6610169410705566,0.004686187952756882
ilpd,NeuralNetTorch,524,59,0.36686314560417826,0.5390339870194731,0.05472245067358017,0.058300506323575974,0.6779661178588867,0.0028983578085899353
ilpd,RandomForest,524,59,0.359621553987528,0.5201958906363745,0.04263417422771454,0.11361163854598999,0.7118644118309021,0.004698056727647781
ilpd,XGBoost,524,59,0.37052230620311993,0.5345434891330971,0.06671290844678879,0.1243547722697258,0.6779661178588867,0.004629082977771759
jasmine,CatBoost,2685,299,0.26426448893675014,0.40261678235962933,0.028537655249238014,0.06322842836380005,0.8060200810432434,0.004858635365962982
jasmine,ExtraTrees,2685,299,0.2721546366264002,0.4083595126301498,0.02440468594431877,0.05084409564733505,0.8193979859352112,0.004890531301498413
jasmine,LightGBM,2685,299,0.25849614777380947,0.3958596793031777,0.02025420218706131,0.05522172525525093,0.8227424621582031,0.004038073122501373
jasmine,LinearModel,2685,299,0.2883624464103964,0.44180707973650657,0.02159307710826397,0.03688855469226837,0.7959865927696228,0.004341181367635727
jasmine,NeuralNetFastAI,2685,299,0.2825652563789323,0.42694690112137734,0.027544990181922913,0.04118024930357933,0.8093645572662354,0.004665851593017578
jasmine,NeuralNetTorch,2685,299,0.2817429754976144,0.42597834218909914,0.029535233974456787,0.05459628999233246,0.8093645572662354,0.004750479012727737
jasmine,RandomForest,2685,299,0.26245636862566607,0.394482745448379,0.03741477429866791,0.08069977164268494,0.8026756048202515,0.005088590085506439
jasmine,XGBoost,2685,299,0.2571699169765788,0.3941942256403688,0.02094298228621483,0.046615149825811386,0.8260869383811951,0.004637923091650009
jm1,CatBoost,9796,1089,0.26443669408794435,0.41737422118821177,0.010064275935292244,0.026406526565551758,0.8163452744483948,0.00814325362443924
jm1,ExtraTrees,9796,1089,0.26165323047935185,0.41176835130416306,0.01138250157237053,0.02874983847141266,0.8209366202354431,0.008513394743204117
jm1,LightGBM,9796,1089,0.26434615308792364,0.4179542075942729,0.01178743690252304,0.02474728599190712,0.8181818127632141,0.006244100630283356
jm1,LinearModel,9796,1089,0.27966523792103803,0.4416327107395696,0.012315534055233002,0.028365878388285637,0.8163452744483948,0.011087484657764435
jm1,NeuralNetFastAI,9796,1089,0.27022003994797744,0.43137727304334417,0.01697240024805069,0.039223987609148026,0.8255280256271362,0.009372595697641373
jm1,NeuralNetTorch,9796,1089,0.2750948974942744,0.4343155987356785,0.017033912241458893,0.02985292300581932,0.8135904669761658,0.010667234659194946
jm1,RandomForest,9796,1089,0.26211023336597583,0.41393347826588767,0.01099846139550209,0.021554170176386833,0.8209366202354431,0.01033574715256691
jm1,XGBoost,9796,1089,0.26417029045980284,0.41733104603145754,0.010111011564731598,0.02954155020415783,0.8163452744483948,0.009445048868656158
kc1,CatBoost,1898,211,0.1846519007228201,0.30915678672620517,0.027024779468774796,0.05590762197971344,0.8720378875732422,0.003940843045711517
kc1,ExtraTrees,1898,211,0.1797147674738797,0.2946054812475147,0.01917867176234722,0.03324698284268379,0.8767772316932678,0.004371467977762222
kc1,LightGBM,1898,211,0.19222563376641089,0.3175008489346755,0.017609363421797752,0.038670435547828674,0.8815165758132935,0.003456510603427887
kc1,LinearModel,1898,211,0.209076954645299,0.33790435810788066,0.027845699340105057,0.06316152215003967,0.8530805706977844,0.0037300027906894684
