dataset,model,cal_size,test_size,Beta_brier,Beta_logloss,Beta_kuiper,Beta_ece-15,Beta_accuracy,Beta_time
Is-this-a-good-customer,TabICLv2,1148,575,0.18746789769098718,0.3187761291721446,0.016163043677806854,0.028702421113848686,0.886956512928009,0.004724759608507156
Marketing_Campaign,TabICLv2,1493,747,0.134420015795849,0.21364869524261662,0.013565825298428535,0.027824096381664276,0.8955823183059692,0.0032974518835544586
NATICUSdroid,TabICLv2,4994,2497,0.07997761380188276,0.13555702301685282,0.0039673298597335815,0.010155957192182541,0.9447336792945862,0.005624234676361084
bank-marketing,TabICLv2,30140,15071,0.17124459851371773,0.2985920579399217,0.0060625579208135605,0.012031703256070614,0.8943003416061401,0.02311857044696808
blood-transfusion-service-center,TabICLv2,498,250,0.299222176829946,0.475924495368877,0.04131234809756279,0.0800873264670372,0.7919999957084656,0.0033620446920394897
churn,TabICLv2,3333,1667,0.05017363160676033,0.11223818575220772,0.011509030126035213,0.012809454463422298,0.9712057709693909,0.005323078483343124
coil2000_insurance_policies,TabICLv2,6548,3274,0.10530964349037578,0.19953189414082192,0.00428655743598938,0.003800904145464301,0.9404398202896118,0.013984344899654388
credit-g,TabICLv2,666,334,0.32920577862229106,0.4999633997266849,0.04063723608851433,0.06568647176027298,0.7485029697418213,0.0032419003546237946
credit_card_clients_default,TabICLv2,20000,10000,0.26173493792437796,0.4183336236528221,0.005106024909764528,0.01116967760026455,0.8226000070571899,0.015138056129217148
customer_satisfaction_in_airline,TabICLv2,86586,43294,0.052972768078076035,0.08423274497435174,0.0010585305280983448,0.003759391140192747,0.9621887803077698,0.043009720742702484
diabetes,TabICLv2,512,256,0.30444333860464046,0.46400652011691657,0.02430538833141327,0.06907761842012405,0.76953125,0.003212474286556244
hazelnut-spread-contaminant-detection,TabICLv2,1600,800,0.05037421199579878,0.09015740552519383,0.0061808377504348755,0.01796303503215313,0.9637500047683716,0.003613349050283432
heloc,TabICLv2,6972,3487,0.36265052651524593,0.5420840488135857,0.010870207101106644,0.015793614089488983,0.7307140827178955,0.006232142448425293
in_vehicle_coupon_recommendation,TabICLv2,8456,4228,0.3115972098509429,0.47810460816233724,0.010040096938610077,0.02548068016767502,0.7788552641868591,0.00743383914232254
jm1,TabICLv2,7256,3629,0.2606414788021189,0.4130521211925527,0.01684388890862465,0.016542719677090645,0.8211628794670105,0.007803857326507568
kddcup09_appetency,TabICLv2,33333,16667,0.03352323370846719,0.07640269316174701,0.001770190428942442,0.0017026911955326796,0.9821803569793701,0.017736762762069702
online_shoppers_intention,TabICLv2,8220,4110,0.14042836619423057,0.22459141033970292,0.006039461120963097,0.01031346432864666,0.9002432823181152,0.007360078394412994
