dataset,model,cal_size,test_size,CB-tiny-monotone_brier,CB-tiny-monotone_logloss,CB-tiny-monotone_kuiper,CB-tiny-monotone_ece-15,CB-tiny-monotone_accuracy,CB-tiny-monotone_time
online_shoppers_intention,BetaTabPFN_GPU,8220,4110,0.14161199973554395,0.2286079976863332,0.009614771232008934,0.009149228222668171,0.9002432823181152,0.1419372260570526
polish_companies_bankruptcy,BetaTabPFN_GPU,3940,1970,0.04642814099474285,0.08746111214488697,0.007962711155414581,0.01277129352092743,0.9736040830612183,0.08761527761816978
qsar-biodeg,BetaTabPFN_GPU,702,352,0.198773036874757,0.32936841674162837,0.03144484758377075,0.04878629371523857,0.8664772510528564,0.05109543725848198
seismic-bumps,BetaTabPFN_GPU,1722,862,0.10865179012557973,0.20051465560738696,0.008786016143858433,0.008911143988370895,0.9338747262954712,0.05970345437526703
taiwanese_bankruptcy_prediction,BetaTabPFN_GPU,4546,2273,0.04387115479265936,0.07964891500086856,0.004233532585203648,0.009061815217137337,0.9727232456207275,0.08983467146754265
APSFailure,ModernNCA_GPU,50666,25334,0.009504628181967262,0.01790946554738291,0.002148097613826394,0.003144715679809451,0.9938027858734131,0.42193543165922165
Amazon_employee_access,ModernNCA_GPU,21846,10923,0.0814529469277342,0.15647723902022326,0.01355791836977005,0.017451614141464233,0.9484573602676392,0.25118523463606834
Bank_Customer_Churn,ModernNCA_GPU,6666,3334,0.19900452426589485,0.3256965595386015,0.006760513409972191,0.021940553560853004,0.8635272979736328,0.11070741340517998
Bioresponse,ModernNCA_GPU,2500,1251,0.2896273071935812,0.4533943941082529,0.02263966202735901,0.049133989959955215,0.7937650084495544,0.07158318161964417
Diabetes130US,ModernNCA_GPU,47678,23840,0.15453653076491738,0.2822964119539511,0.004278570879250765,0.005035749636590481,0.9119966626167297,0.4300074018537998
E-CommereShippingData,ModernNCA_GPU,7332,3667,0.3592797431564269,0.5029892163045214,0.03444124758243561,0.03371914103627205,0.6632124185562134,0.12117752805352211
Fitness_Club,ModernNCA_GPU,1000,500,0.3274755880984292,0.4992509366724116,0.026220083236694336,0.0620231106877327,0.7519999742507935,0.0546284057199955
GiveMeSomeCredit,ModernNCA_GPU,100000,50000,0.09692517779246014,0.17539954978178718,0.002152020810171962,0.0033377755898982286,0.9381399750709534,0.8412458337843418
HR_Analytics_Job_Change_of_Data_Scientists,ModernNCA_GPU,12772,6386,0.2692892316787117,0.42408651459839924,0.022546708583831787,0.01498797070235014,0.8025367856025696,0.1701299324631691
Is-this-a-good-customer,ModernNCA_GPU,1148,575,0.1917351070035587,0.32811813314142496,0.02366131916642189,0.023986563086509705,0.8852173686027527,0.054784998297691345
Marketing_Campaign,ModernNCA_GPU,1493,747,0.13758267800370053,0.2237041248600629,0.023104432970285416,0.03699065372347832,0.9036144614219666,0.05831035226583481
NATICUSdroid,ModernNCA_GPU,4994,2497,0.08740542741644182,0.14925825376943977,0.00853531900793314,0.011970218271017075,0.9411293268203735,0.09668384119868279
bank-marketing,ModernNCA_GPU,30140,15071,0.17191401469177445,0.29946115104800464,0.004494032822549343,0.00645302701741457,0.8940349221229553,0.32166391238570213
