dataset,model,cal_size,test_size,CDF-Spline_brier,CDF-Spline_logloss,CDF-Spline_kuiper,CDF-Spline_ece-15,CDF-Spline_accuracy,CDF-Spline_time
online_shoppers_intention,TabICL_GPU,8220,4110,0.14145990201898942,,0.007983691990375519,0.013362215831875801,0.8992700576782227,0.048427208326756954
polish_companies_bankruptcy,TabICL_GPU,3940,1970,0.04221792550868579,,0.006200317293405533,0.013215983286499977,0.9730964303016663,0.024068330880254507
qsar-biodeg,TabICL_GPU,702,352,0.17514353057896404,0.29568259544179626,0.03758756443858147,0.047929905354976654,0.8778409361839294,0.005043931771069765
seismic-bumps,TabICL_GPU,1722,862,0.11047415871262502,,0.011765316128730774,0.01922910287976265,0.9338747262954712,0.01074464712291956
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.04404053706311038,,0.005112700629979372,0.007598844822496176,0.9718433618545532,0.02653225092217326
Amazon_employee_access,LimiX_GPU,21846,10923,0.08373390463804005,0.16062333175746227,0.006250075530260801,0.008484212681651115,0.9477249979972839,0.1275197989307344
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19665447945086836,,0.00899791531264782,0.020264972001314163,0.8671265840530396,0.03959937486797571
Bioresponse,LimiX_GPU,2500,1251,0.2746772686475466,,0.02397337555885315,0.0452035553753376,0.7977617979049683,0.015035184100270271
E-CommereShippingData,LimiX_GPU,7332,3667,0.3543305291845453,,0.009094417095184326,0.0059554181061685085,0.6880283355712891,0.04453849978744984
Fitness_Club,LimiX_GPU,1000,500,0.31582268828829835,0.480784060574208,0.01880934089422226,0.038042668253183365,0.7799999713897705,0.006756837945431471
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.2680928859244076,0.4224024221822667,0.007282257080078125,0.01076324749737978,0.8056686520576477,0.07473706314340234
Is-this-a-good-customer,LimiX_GPU,1148,575,0.18940104981199032,0.32393470678103,0.013891346752643585,0.02856731228530407,0.8765217661857605,0.007250182796269655
Marketing_Campaign,LimiX_GPU,1493,747,0.13246605001382128,,0.014927820302546024,0.0224906075745821,0.9036144614219666,0.00919883931055665
NATICUSdroid,LimiX_GPU,4994,2497,0.08458207262882654,,0.007148989476263523,0.012927057221531868,0.9431317448616028,0.029229165986180305
bank-marketing,LimiX_GPU,30140,15071,0.17184002178676708,0.29945164076557107,0.0061785392463207245,0.011548304930329323,0.8934377431869507,0.1744565679691732
blood-transfusion-service-center,LimiX_GPU,498,250,0.3012950156480975,0.4896851713894362,0.04775898903608322,0.09069579839706421,0.7960000038146973,0.003749505151063204
churn,LimiX_GPU,3333,1667,0.06766509475379437,,0.011960092931985855,0.017834125086665154,0.9598080515861511,0.02019064500927925
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.1048648992254356,0.1978819626337696,0.003764430060982704,0.0048292879946529865,0.9404398202896118,0.03749930299818516
credit-g,LimiX_GPU,666,334,0.313291618884538,,0.04445143789052963,0.07439766824245453,0.7994012236595154,0.004683735780417919
credit_card_clients_default,LimiX_GPU,20000,10000,0.2640280965600981,0.4214442904498518,0.005272865295410156,0.012459816411137581,0.8219000101089478,0.11433535115793347
diabetes,LimiX_GPU,512,256,0.3110931043423353,0.4697005959800724,0.027020014822483063,0.05751685053110123,0.75390625,0.003677903674542904
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07311920806946864,,0.012918082997202873,0.026944667100906372,0.956250011920929,0.009491404052823782
heloc,LimiX_GPU,6972,3487,0.36290662127735007,0.5431621056886643,0.01873314380645752,0.025708148255944252,0.734728991985321,0.04097213922068477
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.351971721239555,,0.012923136353492737,0.025370119139552116,0.7438505291938782,0.04845031909644604
jm1,LimiX_GPU,7256,3629,0.2665489825355211,0.42136093857770784,0.010303608141839504,0.01507075410336256,0.8131716847419739,0.041763017885386944
online_shoppers_intention,LimiX_GPU,8220,4110,0.14265325678592902,,0.006348109804093838,0.013504414819180965,0.8982968330383301,0.04767341027036309
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05459911928669824,,0.009470098651945591,0.01332986168563366,0.9598984718322754,0.022906124126166105
qsar-biodeg,LimiX_GPU,702,352,0.1742585522955253,0.29986500300387875,0.033277444541454315,0.04648376628756523,0.8892045617103577,0.004834557883441448
seismic-bumps,LimiX_GPU,1722,862,0.10855089334366692,0.2048580340415129,0.010949159972369671,0.014411604031920433,0.9338747262954712,0.010490698739886284
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.04375893609347526,,0.005623309873044491,0.008013882674276829,0.9709634780883789,0.02748659998178482
APSFailure,TabM_GPU,50666,25334,0.009062702333664905,,0.001264210557565093,0.0020118069369345903,0.9940396547317505,0.29426678782328963
Amazon_employee_access,TabM_GPU,21846,10923,0.09105549837362764,0.1699000473866185,0.007465209811925888,0.012073340825736523,0.9421404600143433,0.12697008391842246
Bank_Customer_Churn,TabM_GPU,6666,3334,0.19611312983098778,0.3211409347983781,0.007694462779909372,0.01578022725880146,0.8662267327308655,0.03933969000354409
Bioresponse,TabM_GPU,2500,1251,0.283532898983916,0.44293221338119154,0.017690569162368774,0.032121893018484116,0.7881694436073303,0.015125880017876625
Diabetes130US,TabM_GPU,47678,23840,0.1548645608599346,0.2822502338957365,0.004410425201058388,0.005915033631026745,0.9119966626167297,0.27531468076631427
E-CommereShippingData,TabM_GPU,7332,3667,0.36005904208547496,,0.023569472134113312,0.038923002779483795,0.6754840612411499,0.04214431485161185
Fitness_Club,TabM_GPU,1000,500,0.3151527248597614,0.4812658942323935,0.022546879947185516,0.045721232891082764,0.7720000147819519,0.006533319130539894
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09687460338311332,0.1751255262663594,0.00128879863768816,0.003345735603943467,0.9387199878692627,0.5876421215943992
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.27071960843894993,0.4256862435479427,0.012938246130943298,0.01936780847609043,0.8026933670043945,0.0749952127225697
Is-this-a-good-customer,TabM_GPU,1148,575,0.1958655564606312,0.3357872462251144,0.0223870649933815,0.043665483593940735,0.8765217661857605,0.007208164315670729
Marketing_Campaign,TabM_GPU,1493,747,0.1428312859386232,0.22619545907522892,0.016220280900597572,0.03050118498504162,0.898259699344635,0.009140873793512583
NATICUSdroid,TabM_GPU,4994,2497,0.08443962875201123,,0.007121317088603973,0.015880009159445763,0.9407289028167725,0.030342673882842064
bank-marketing,TabM_GPU,30140,15071,0.17195676776458335,0.29967161801317554,0.004207724705338478,0.00748798530548811,0.8941012620925903,0.1760206869803369
blood-transfusion-service-center,TabM_GPU,498,250,0.30132846336552743,,0.04303751885890961,0.0698096752166748,0.8040000200271606,0.0037296079099178314
churn,TabM_GPU,3333,1667,0.06845981883072104,,0.018535777926445007,0.027854621410369873,0.9634073376655579,0.020162289962172508
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10619462061675548,0.20347018029961964,0.00784364715218544,0.009309958666563034,0.9404398202896118,0.03781895199790597
